pl_name,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,sy_dist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU Mic b,0.0649,3.95677019,20.12,600,3678,0.744,9.7221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU Mic c,0.1108,2.52202066,9.6,459,3678,0.744,9.7221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 220674823 c,0.1073,2.84,7.32,804,5578,0.99,244.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 249893012 b,0.047,1.95,8.75,1616,5430,1.71,321.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 249893012 c,0.13,3.67,14.67,990,5430,1.71,321.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 249893012 d,0.22,3.94,10.18,752,5430,1.71,321.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1132 b,0.0157,1.19151465,1.83704819,583.8,3229,0.2211,12.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1214 b,0.01505,2.733,8.41,567,3101,0.2162,14.6427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 367 b,0.00709,0.699,0.633,1365,3522,0.458,9.41263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 486 b,0.01714,1.289,2.77,696.3,3317,0.3243,8.07426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-11 b,0.05258,4.36,25,838,4653,0.683,37.7647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-19 b,0.04599,11.29865255,88.03846874,981.2,4962,0.773,202.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-25 b,0.0466,12.722215,180.84527,1182,5519,0.919,300.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-36 b,0.0241,14.313893,587.413406,1780.97,5620,1.041,294.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-9 b,0.05287,15.614137,238.05467,1540,6350,1.338,455.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-17 b,0.1308,8.709393,425.25654,814,5846,1.091,400.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-36 b,0.0523,12.92,1022.14128,1203,5950,1.1,856.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 106315 b,0.0907,2.44,12.6,1153,6327,1.29,109.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 106315 c,0.1536,4.35,15.2,886,6327,1.29,109.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 110113 b,0.035,2.05,4.55,1371,5732,0.968,106.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 110113 c,0.068,2.11384817,10.5,990,5732,0.968,106.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 1397 b,0.1097,11.500434,131.89945,1228.3,5521,2.336,79.5702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 183579 b,0.1322,3.49,20.4,752,5784,0.96,57.2651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 18599 b,0.048,2.6,24.1,863,5145,0.767,38.5653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 191939 b,0.0804,3.41,10,880,5348,0.94,53.6089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 191939 c,0.1752,3.195,8,600,5348,0.94,53.6089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 191939 d,0.2132,2.995,2.8,540,5348,0.94,53.6089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 207496 b,0.0629,2.25,6.1,743,4819,0.769,23.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 219134 c,0.0653,1.511,4.36,782,4699,0.778,6.53127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 219134 d,0.237,1.61,16.17,410.5,4699,0.778,6.53127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 219134 f,0.1463,1.31,7.3,522.6,4699,0.778,6.53127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 b,0.1162,2,8.32,543,4684,0.71,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 c,0.1646,1.87,3.41,467,4684,0.71,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 d,0.04298,0.75,0.55,909,4684,0.71,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 e,0.068,0.818,0.72,723,4684,0.71,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 f,0.0906,1.137,0.77,630,4684,0.71,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 260655 b,0.02933,1.24,2.14,709,3803,0.439,10.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 260655 c,0.04749,1.533,3.09,557,3803,0.439,10.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 5278 b,0.1202,2.45,7.8,943,6203,1.194,57.5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 73583 b,0.0604,2.79,10.2,714,4511,0.65,31.5666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 73583 c,0.1242,2.39,9.7,498,4511,0.65,31.5666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
